Match_Status;Product_ID;Product_Code;Product_Name;Modality;Classification;Product_Type;Therapeutic_Area;Current_Phase;Project_Status;Lead_Indication;Expected_Launch_Year;Timeline_Variance_Days;Launch_Geography;Commercial;Development_Approach;Development_Site;Launch_Site;Pharma_Form;Technology;Storage_Conditions;DS_Volume_Category;DP_Volume_Category;Route_Of_Administration;DS_Suppliers;DP_Suppliers;Device_Partners;Contact_Person;Strategic_Class;Strategic_Technology;Demand_Category;Peak_Demand_Range;Operational_Risks;Timeline_Risks;Supply_Chain_Risks;Mechanism_Of_Action;Short_Description;Patient_Population;Regulatory_Details;Submission_Status
MATCH_LE;BI 764198;BI 764198_PODO;Not disclosed;Small Molecule;Solid;;Nephrology / Renal;;;Podocytopathies;2034;;;Buy;CDMO;Almac;tbd;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for podocyte-related kidney diseases.;Patients with podocytopathies;;
MATCH_LE;BI 764198;BI 764198_PED;Not disclosed;Small Molecule;Solid;;Nephrology / Renal;Pre-Clinical;;FSGS Pediatric;2035;;;Buy;CDMO;Almac;tbd;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Pediatric line extension of TRPC6 inhibitor for FSGS in pediatric populations.;Pediatric patients with FSGS;;
MATCH;BI 764198;BI 764198;Not disclosed;Small Molecule;Liquid;NME;Nephrology / Renal;Phase II;On Track;Focal Segmental Glomerulosclerosis (FSGS);2031;;;tbd;CDMO;CDMO;tbd;Sf_Injection;tbd;(Blank);;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;NCE_liquid;Vial (Standard);(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;TRPC6 inhibitor for renal diseases, primarily targeting FSGS (Focal Segmental Glomerulosclerosis).;Patients with FSGS and other proteinuric kidney diseases;;
MATCH_LE;BI 764198;BI 764198_DMD;Not disclosed;Small Molecule;Liquid;;Neuromuscular Disorders;;;Duchenne Muscular Dystrophy;2032;;;tbd;CDMO;CDMO;tbd;Sf_Injection;tbd;(Blank);;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;NCE_liquid;Vial (Standard);(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for Duchenne Muscular Dystrophy.;Patients with Duchenne Muscular Dystrophy;;
MATCH_LE;BI 764198;BI 764198_PODO;Not disclosed;Small Molecule;Liquid;;Nephrology / Renal;;;Podocytopathies;2034;;;tbd;CDMO;CDMO;tbd;Sf_Injection;tbd;(Blank);;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;NCE_liquid;Vial (Standard);(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for podocyte-related kidney diseases.;Patients with podocytopathies;;
MATCH_LE;BI 764198;BI 764198_PED;Not disclosed;Small Molecule;Liquid;;Nephrology / Renal;Pre-Clinical;;FSGS Pediatric;2035;;;tbd;CDMO;CDMO;tbd;Sf_Injection;tbd;(Blank);;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;NCE_liquid;Vial (Standard);(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Pediatric line extension of TRPC6 inhibitor for FSGS in pediatric populations.;Pediatric patients with FSGS;;
MATCH;BI 764524;BI 764524;Not disclosed;Monoclonal Antibody;Liquid;NME;Ophthalmology;Phase II;On Track;Diabetic Retinopathy (DR);2031;;;Buy;INTERNAL;BI Biberach;Vetter Ravensburg;Sf_Injection;Sterile Filling;2 to 8°C;;;Intravitreal;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;IVT;Low;1-10 mio PCS;;;;Anti-Semaphorin 3A (anti-Sema3A) antibody - targets SEMA3A, a protein implicated in retinal vascular and neuronal pathology.;Anti-Sema3A antibody for retinal diseases, primarily targeting Diabetic Retinopathy.;Patients with Diabetic Retinopathy;;
MATCH_LE;BI 764524;BI 764524_DME;Not disclosed;Monoclonal Antibody;Liquid;;Ophthalmology;;;CI-DME;2032;;;Buy;INTERNAL;BI Biberach;Vetter Ravensburg;Sf_Injection;Sterile Filling;2 to 8°C;;;Intravitreal;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;IVT;Low;1-10 mio PCS;;;;Anti-Semaphorin 3A (anti-Sema3A) antibody - targets SEMA3A, a protein implicated in retinal vascular and neuronal pathology.;Line extension of anti-Sema3A antibody for center-involved diabetic macular edema.;Patients with CI-DME;;
MATCH_LE;BI 764524;BI 764524_IRVO;Not disclosed;Monoclonal Antibody;Liquid;;Ophthalmology;;;iRVO;2032;;;Buy;INTERNAL;BI Biberach;Vetter Ravensburg;Sf_Injection;Sterile Filling;2 to 8°C;;;Intravitreal;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;IVT;Low;1-10 mio PCS;;;;Anti-Semaphorin 3A (anti-Sema3A) antibody - targets SEMA3A, a protein implicated in retinal vascular and neuronal pathology.;Line extension of anti-Sema3A antibody for macular edema following retinal vein occlusion.;Patients with iRVO;;
MATCH;BI 765049;BI 765049;Not disclosed;T-cell Engager;Liquid;NME;Oncology;Phase I;On Track;Colorectal Cancer (CRC);2030;;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection;"Sterile Filling; Lyophilization";2 to 8°C;;;Intravenous;;;;Lindemann,Dr.,Eva (HP BioP L&I) BIP-DE-I;NBE;Vial (Standard);Very Low;<1 mio PCS;;;;B7-H6/CD3 bispecific T-cell engager - binds B7-H6 on tumor cells and CD3 on T-cells to activate immune response against cancer cells.;B7-H6/CD3 bispecific T-cell engager for colorectal cancer. First-in-human Phase I as monotherapy and in combination with PD-1 inhibitor ezabenlimab.;Patients with advanced colorectal cancer and other gastrointestinal malignancies;;
MATCH;BI 765179;BI 765179;Not disclosed;Monoclonal Antibody;Liquid;NME;Oncology;Phase Ib;On Track;Head and Neck Squamous Cell Carcinoma (HNSCC), First-Line PD-L1+;2031;;;Make;;(Blank);BI Biberach;Sf_Injection;Sterile Filling;tbd;;;Intravenous;;;;Lindemann,Dr.,Eva (HP BioP L&I) BIP-DE-I;NBE;Vial (Standard);Very Low;<1 mio PCS;;;;CD137-FAP bispecific agonist antibody - provides tumor-restricted CD137 activation through cancer-associated fibroblast (CAF) targeting via FAP.;CD137-FAP bispecific agonist antibody for head and neck squamous cell carcinoma. Phase Ib in combination with pembrolizumab for first-line PD-L1+ HNSCC.;Patients with PD-L1+ head and neck squamous cell carcinoma, first-line treatment;;
MATCH;BI 765423;BI 765423;;Monoclonal Antibody;Liquid;NBE;Respiratory;Phase I;On Track;Idiopathic/Progressive Pulmonary Fibrosis (IPF/PPFr);2034;0;;;CDMO;Lonza (Basel);tbd;Sf_Injection;Sterile Filling;2 to 8°C;;;Injectable (SFInj);;;;Goeggel,Dr.,Svenja (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;IL-11 blockade by binding to soluble IL-11 and preventing the IL-11/IL-11R interaction.;An anti-IL11 antibody designed to block the IL-11 cytokine implicated in fibrotic lung diseases.;;;
MATCH;BI 770371;BI 770371;Not disclosed;Recombinant Proteins;Liquid;NME;Oncology;Phase I/II;On Track;Head and Neck Squamous Cell Carcinoma (HNSCC);2032;;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection;Sterile Filling;2 to 8°C;;;Intravenous;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;SIRPα antagonist - blocks the Signal Regulatory Protein alpha (SIRPα) to enhance macrophage-mediated tumor cell phagocytosis.;SIRPα antagonist for oncology, primarily targeting Head and Neck Squamous Cell Carcinoma.;Patients with HNSCC;;
MATCH_LE;BI 770371;BI 770371_MASH;Not disclosed;Recombinant Proteins;Liquid;;Hepatology / CRM;;;MASH;2034;;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection;Sterile Filling;2 to 8°C;;;Intravenous;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;SIRPα antagonist - blocks the Signal Regulatory Protein alpha (SIRPα) to enhance macrophage-mediated phagocytosis and reduce inflammation.;Line extension of SIRPα antagonist for MASH, targeting inflammatory pathways in metabolic liver disease.;Patients with MASH;;
MATCH;BI771716;BI 771716;Not disclosed;Monoclonal Antibody;Liquid;NME;Ophthalmology / Retinal Health;Phase II;On Track;Geographic Atrophy (GA) secondary to Age-Related Macular Degeneration (AMD);2030;;;Buy;"INTERNAL;CDMO";"BI Biberach; Vetter Ravensburg";"Vetter Ravensburg; BI Biberach";Sf_Injection;Sterile Filling;2 to 8°C;;;Intravitreal injection (IVT);RCV @Biberach/Vienna network (active);;;Malcher,Desiree (HP BioP L&I) BIP-DE-B;NBE;IVT;Low;1-10 mio PCS;MED: 2;;;Anti-C3/C3b antibody fragment (scFv) - highly specific single-chain variable fragment targeting C3 and C3b, inhibiting complement activation via all three pathways (classical, lectin, and alternative).;Anti-C3 antibody fragment (scFv) for Geographic Atrophy secondary to AMD. Intravitreal injection showing >90% reduction of free C3 in aqueous humor. Phase II VERDANT study active comparing q4w and q8w regimens vs pegcetacoplan.;Patients with Geographic Atrophy secondary to AMD;;
NO_MATCH_export;CT-156-N/A;;;Prescription Digital Therapeutic (SaMD/PDT);Digital;;;;;;;;;;;(Blank);;;;(Blank);;;;;;;D&DL-OPS:;Digital;Digital;;;;;;;;;;
NO_MATCH_export;Empagliflozin;;;Small Molecule;Solid;;;;;;;;;Make;;(Blank);BI Ingelheim;FC_Tablet;High Shear Granulation;Room Temp.;;;;;;;Thomas,Dr.,Johannes (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;;;;;
NO_MATCH_export;Empagliflozin;;;Small Molecule;Solid;;;;;;;;;Buy;;(Blank);Rottendorf Pharma GmbH;FC_Tablet-PED;High Shear Granulation;(Blank);;;;;;;Thomas,Dr.,Johannes (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;;;;;
MATCH;Ezabenlimab;BI 754091;Ezabenlimab;Monoclonal Antibody;Liquid;NBE;Oncology;Phase I/II (laufende Kombinationsprogramme);On Track;IV formulation for use in Oncology combinations.;;0;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection;Sterile Filling;(Blank);Low (6 - 15 12k runs);Low (1 - 10 million PCS);Intravenous (IV);Fremont @Fremont (ongoing);BC_F113 @Biberach (ongoing);;Lischewski,Dr.,Axel (HP BioP L&I) BIP-DE-I;NBE;Vial (Standard);Very Low;<1 mio PCS;;;;A humanized programmed cell death 1 (PD-1)-targeting monoclonal antibody.;PD-1 antibody as a combination backbone (e.g., with TcEs, STING-Ago., SIRPα-Antag., MDM2-Inhib.).;;;
NO_MATCH_export;Linagliptin;;;Small Molecule;Solid;;;;;;;;;Make;tbd;(Blank);tbd;FC_Tablet;tbd;(Blank);;;;;;;;Solid;Film-coated tablet;(Blank);(Blank);;;;;;;;
MATCH;Nerandomilast;BI 1015550;Nerandomilast;Small Molecule;Solid;NME;"Respiratory (IPF; PPF in Zulassung)";Approved/Launched (US, 09-Oct-2025, IPF);On Track;Idiopathic Pulmonary Fibrosis (IPF);2025;-10;"US; China";Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Twin Screw Granulation;Room Temp.;Low (10 - 1,000 kg);Medium (10 - 100 million PCS);Oral;ING @Ingelheim (qualified);"ING_SoL @Ingelheim (launch_ready); Koropi (transfer_ongoing)";;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;HIGH: 1;MED: 1;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Oraler PDE4B-Inhibitor, der den FVC-Rückgang bei IPF signifikant verlangsamt (Phase-3).;;IPF: 2 designations;Submitted
MATCH_LE;Nerandomilast;BI 1015550_PPF;Nerandomilast;Small Molecule;Solid;;Respiratory;Phase III;On Track;Progressive Pulmonary Fibrosis;2026;;;Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Twin Screw Granulation;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Progressive Pulmonary Fibrosis. Phase III development.;;;
MATCH_LE;Nerandomilast;BI 1015550_MYO;Nerandomilast;Small Molecule;Solid;;Immunology;;;Myositis;2030;;;Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Twin Screw Granulation;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Myositis indication.;;;
MATCH_LE;Nerandomilast;BI 1015550_PED;Nerandomilast;Small Molecule;Solid;;Respiratory;Pre-Clinical;On Track;Pediatric Pulmonary Fibrosis;2030;;;Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Twin Screw Granulation;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Pediatric line extension of Nerandomilast for pulmonary fibrosis. Uses different manufacturing process (Fluid Bed, outsourced to Almac).;;;
MATCH_LE;Nerandomilast;BI 1015550_SSC;Nerandomilast;Small Molecule;Solid;;Immunology;Phase II;On Track;Systemic Sclerosis;2030;;;Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Twin Screw Granulation;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Systemic Sclerosis. Phase II development.;;;
MATCH;Nerandomilast;BI 1015550;Nerandomilast;Small Molecule;Solid;NME;"Respiratory (IPF; PPF in Zulassung)";Approved/Launched (US, 09-Oct-2025, IPF);On Track;Idiopathic Pulmonary Fibrosis (IPF);2025;-10;"US; China";Buy;CDMO;Almac, UK;Almac Charnwood;Oral Granules-PED;tbd;Room Temp.;Low (10 - 1,000 kg);Medium (10 - 100 million PCS);Oral;ING @Ingelheim (qualified);"ING_SoL @Ingelheim (launch_ready); Koropi (transfer_ongoing)";;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);HIGH: 1;MED: 1;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Oraler PDE4B-Inhibitor, der den FVC-Rückgang bei IPF signifikant verlangsamt (Phase-3).;;IPF: 2 designations;Submitted
MATCH_LE;Nerandomilast;BI 1015550_PPF;Nerandomilast;Small Molecule;Solid;;Respiratory;Phase III;On Track;Progressive Pulmonary Fibrosis;2026;;;Buy;CDMO;Almac, UK;Almac Charnwood;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Progressive Pulmonary Fibrosis. Phase III development.;;;
MATCH_LE;Nerandomilast;BI 1015550_MYO;Nerandomilast;Small Molecule;Solid;;Immunology;;;Myositis;2030;;;Buy;CDMO;Almac, UK;Almac Charnwood;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Myositis indication.;;;
MATCH_LE;Nerandomilast;BI 1015550_PED;Nerandomilast;Small Molecule;Solid;;Respiratory;Pre-Clinical;On Track;Pediatric Pulmonary Fibrosis;2030;;;Buy;CDMO;Almac, UK;Almac Charnwood;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Pediatric line extension of Nerandomilast for pulmonary fibrosis. Uses different manufacturing process (Fluid Bed, outsourced to Almac).;;;
MATCH_LE;Nerandomilast;BI 1015550_SSC;Nerandomilast;Small Molecule;Solid;;Immunology;Phase II;On Track;Systemic Sclerosis;2030;;;Buy;CDMO;Almac, UK;Almac Charnwood;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Meusel,Dr.,Manuela (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;An oral, preferential inhibitor of phosphodiesterase 4B (PDE4B).;Line extension of Nerandomilast for Systemic Sclerosis. Phase II development.;;;
NO_MATCH_export;Nintedanib;;;Small Molecule;Solid;;;;;;;;;Buy;INTERNAL;Biberach;Catalent Eberbach;SG_Capsule;Encapsulation;(Blank);;;;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Solids non-standard;Very Low;<1 mio PCS;;;;;;;;
MATCH;Obrixtamig;BI 764532;Obrixtamig;T-cell Engager;Liquid;NME;Oncology;Phase II;On Track;Extra-pulmonale neuroendokrine Karzinome (2L epNEC);2027;;"US; Germany; Japan; China";Buy;;(Blank);Vetter Ravensburg;Sf_Injection;"Sterile Filling; Lyophilization";2 to 8°C;;;Intravenös und subkutan;;;;Schneider,Dr.,Siegfried (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);Low;>100 mio PCS;;;;Bispezifischer DLL3/CD3 T-Zell-Engager, der DLL3 auf Tumorzellen und CD3 auf T-Zellen bindet zur gezielten Immunaktivierung.;Bispezifischer Antikörper für neuroendokrine Karzinome. Lead indication: 2L epNEC als Monotherapie.;Patienten mit DLL3-positiven neuroendokrinen Karzinomen;;
MATCH_LE;Obrixtamig;BI 764532_EPNEC;Obrixtamig;T-cell Engager;Liquid;;Oncology;Phase Ib/III;On Track;Extra-pulmonale neuroendokrine Karzinome (First-Line);2029;;;Buy;;(Blank);Vetter Ravensburg;Sf_Injection;"Sterile Filling; Lyophilization";2 to 8°C;;;Intravenös und subkutan;;;;Schneider,Dr.,Siegfried (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);Low;>100 mio PCS;;;;Bispezifischer DLL3/CD3 T-Zell-Engager, der DLL3 auf Tumorzellen und CD3 auf T-Zellen bindet zur gezielten Immunaktivierung.;Line extension of Obrixtamig for first-line epNEC. Combination therapy with Pt/Etoposid (Dareon™-7).;Patients with extra-pulmonary neuroendocrine carcinomas, first-line treatment;;
MATCH_LE;Obrixtamig;BI 764532_SCLC;Obrixtamig;T-cell Engager;Liquid;;Oncology;Phase III;On Track;Extensive-Stage Small Cell Lung Cancer (First-Line);2029;;;Buy;;(Blank);Vetter Ravensburg;Sf_Injection;"Sterile Filling; Lyophilization";2 to 8°C;;;Intravenös und subkutan;;;;Schneider,Dr.,Siegfried (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);Low;>100 mio PCS;;;;Bispezifischer DLL3/CD3 T-Zell-Engager, der DLL3 auf Tumorzellen und CD3 auf T-Zellen bindet zur gezielten Immunaktivierung.;Line extension of Obrixtamig for first-line ES-SCLC. Combination therapy with Pt/Etoposid + Immunotherapy (Dareon™-9).;Patients with extensive-stage small cell lung cancer, first-line treatment;;
MATCH;Spesolimab;BI 655130;Spesolimab;Monoclonal Antibody;Liquid;NBE;"Immunology; Neutrophilic Dermatoses";Marketed (GPP flares);;Pyoderma Gangrenosum (PG);2027;0;;Make;;(Blank);BI Biberach;Sf_Injection;Sterile Filling;2 to 8°C;;;Injectable;;;;Schneider,Dr.,Siegfried (HP BioP L&I) BIP-DE-B;NBE;Device for s.c. injection;Low;1-10 mio PCS;MED: 2;;;Humanized IgG1 monoclonal antibody antagonizing IL-36 receptor (IL-36R), blocking IL-36α, IL-36β, and IL-36γ signaling.;"Anti-IL-36R monoclonal antibody approved for GPP flares, investigational for pyoderma gangrenosum; IV for flares, SC for prevention.";Adults with active PG lesions.;Systemic Sclerosis (SSc): 1 designation;
MATCH;Survodutide;BI 456906;Survodutide;Peptides;Liquid;NME;Cardiovascular-Renal-Metabolic (CRM);Phase III;Delayed;Obesity;2027;86;;Buy;INTERNAL;BI Biberach;Thermo Fisher Greenville;Sf_Injection-AI;Sterile Filling;2 to 8°C;;;Subkutan;PPG (halted);"Thermo Fisher; ING";Nemera (PEN/Primary);Hennig,Dr.,Rabea (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;High;>100 mio PCS;HIGH: 2;CRIT: 2;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;A GCGR/GLP-1 receptor dual agonist for people living with overweight or obesity, and for those with MASH.;People living with overweight or obesity (BMI ≥ 27 kg/m²) and people living with MASH.;Obesity: 2 designations;
MATCH_LE;Survodutide;BI 456906_MASH1;Survodutide;Peptides;Liquid;;Cardiovascular-Renal-Metabolic (CRM);Phase III;Delayed;MASH F2/F3;2028;;;Buy;INTERNAL;BI Biberach;Thermo Fisher Greenville;Sf_Injection-AI;Sterile Filling;2 to 8°C;;;Subkutan;;;;Hennig,Dr.,Rabea (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;High;>100 mio PCS;;;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;Line extension of Survodutide for MASH F2/F3. Shares same NME development path, approximately one year behind obesity indication.;People living with MASH F2/F3;;
MATCH_LE;Survodutide;BI 456906_MASH2;Survodutide;Peptides;Liquid;;Cardiovascular-Renal-Metabolic (CRM);;;MASH cF4;2030;;;Buy;INTERNAL;BI Biberach;Thermo Fisher Greenville;Sf_Injection-AI;Sterile Filling;2 to 8°C;;;Subkutan;;;;Hennig,Dr.,Rabea (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;High;>100 mio PCS;;;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;Line extension of Survodutide for compensated cirrhosis due to MASH (cF4 stage).;People living with MASH cF4;;
MATCH;Survodutide;BI 456906;Survodutide;Peptides;Liquid;NME;Cardiovascular-Renal-Metabolic (CRM);Phase III;Delayed;Obesity;2027;86;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection-PEN;Sterile Filling;2 to 8°C;;;Subkutan;PPG (halted);"Thermo Fisher; ING";Nemera (PEN/Primary);Duchardt,Dr.,Falk (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;(Blank);(Blank);HIGH: 2;CRIT: 2;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;A GCGR/GLP-1 receptor dual agonist for people living with overweight or obesity, and for those with MASH.;People living with overweight or obesity (BMI ≥ 27 kg/m²) and people living with MASH.;Obesity: 2 designations;
MATCH_LE;Survodutide;BI 456906_MASH1;Survodutide;Peptides;Liquid;;Cardiovascular-Renal-Metabolic (CRM);Phase III;Delayed;MASH F2/F3;2028;;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection-PEN;Sterile Filling;2 to 8°C;;;Subkutan;;;;Duchardt,Dr.,Falk (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;(Blank);(Blank);;;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;Line extension of Survodutide for MASH F2/F3. Shares same NME development path, approximately one year behind obesity indication.;People living with MASH F2/F3;;
MATCH_LE;Survodutide;BI 456906_MASH2;Survodutide;Peptides;Liquid;;Cardiovascular-Renal-Metabolic (CRM);;;MASH cF4;2030;;;Make;INTERNAL;BI Biberach;BI Biberach;Sf_Injection-PEN;Sterile Filling;2 to 8°C;;;Subkutan;;;;Duchardt,Dr.,Falk (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;(Blank);(Blank);;;;A novel glucagon receptor (GCGR) and GLP-1 receptor dual agonist.;Line extension of Survodutide for compensated cirrhosis due to MASH (cF4 stage).;People living with MASH cF4;;
NO_MATCH_export;T3P-Y058-739;;;LBT;Liquid;;;;;;;;;tbd;;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);;;;;;;Cullmann,Dr.,Gerhard (HP BioP BioX) BIG-AT-V;NBE;Technology unknown;(Blank);(Blank);;;;;;;;
NO_MATCH_export;Tenecteplase (2nd Gen.);;;Recombinant Proteins;Liquid;;;;;;;;;Make;INTERNAL;(Blank);BI Biberach;Sf_Injection;Sterile Filling;(Blank);;;;;;;Mueller,Dr.,Markus_Michael (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);Low;1-10 mio PCS;;;;;;;;
MATCH;Tenecteplase;BI XXXXX;Tenecteplase;Recombinant Proteins;Liquid;NME;Neurology / Stroke;Phase III;On Track;Acute Ischemic Stroke (AIS) in extended time window (4.5-24h);2029;;;Make;;(Blank);BI Biberach;Sf_Injection;Sterile Filling;(Blank);;;Intravenous (single bolus);;;;Wiedenmann,Dr.,Alexander (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;Tissue Plasminogen Activator - recombinant fibrin-specific thrombolytic agent that converts plasminogen to plasmin.;Tissue plasminogen activator for acute ischemic stroke in extended time window (4.5-24h). Single-bolus administration offers practical advantage over alteplase.;Patients with acute ischemic stroke, including basilar artery occlusion (BAO) up to 24 hours;AIS: 1 designation;
MATCH;Verducatib;BI 1291583;Verducatib;Small Molecule;Solid;NME;"Respiratory; Immunology";Phase III;Delayed;Non-Cystic Fibrosis Bronchiectasis (NCFBE);2029;135;;Make;INTERNAL;BI Biberach;BI Ingelheim;FC_Tablet;Direct Compression;Room Temp.;Low (10 - 1,000 kg);Medium (10 - 100 million PCS);Oral;ING (ongoing);ING_SoL (ongoing);;Schmidt,Dr.,Friedrich (HP BioP L&I) BIP-DE-I;Solid;Solids non-standard;Medium;10-100 mio PCS;HIGH: 3;;;Cathepsin C (CatC) inhibitor.;A CatC inhibitor for inflammatory lung conditions, targeting neutrophil serine proteases activation.;;NCFBE: 1 designation;
MATCH;"Vicadrostat; Empagliflozin";BI 690517;Vicadrostat;Small Molecule;Solid;NME;Cardiovascular-Renal-Metabolic (CRM);Phase III;On Track;Chronic Kidney Disease (CKD);2028;0;;Make;INTERNAL;"BI Japan; BI Biberach";BI Ingelheim;FC_Tablet;Fluid Bed Granulation;Room Temp.;High (> 10 tn);High (> 100 million PCS);Oral;ING @Ingelheim (ongoing);ING_SoL @Ingelheim (ongoing);;Hartig-Heimel,Dr.,Mareke (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;High;>100 mio PCS;;;;A novel, selective, and potent aldosterone synthase inhibitor (ASi).;An aldosterone synthase inhibitor used in combination with empagliflozin for cardiovascular and renal disease.;;;
